Phone Brand ,phone name,IMIE,Spcs,Color, Net Price 
Infinix,NOTE50,358906711525390  358906717111013,256/8,TITANIUM GREY, $200.85 
Infinix,NOTE50 PRO,353036360941451  353036367939474,256/12,TITANIUM GREY, $252.53 
Infinix,NOTE50 PRO PLUS,352225330315422    352225339990605                ,256/12,RACING EDITION, $375.38 
Infinix,SMART 10 PLUS,358910370571513    358910379010737,128/8,SLEEK BLACK, $105.30 
Infinix,HOT 60I,354944602614316   354944609146056,256/8,SHADOW BLUE, $141.38 
Infinix,HOT 60 PRO,351789312289187   351789315244510,256/8,JUNGLE BREATH, $156.00 
Infinix,SMART 10 ,356032832968955  356032836885494,128/4,TWILIGHT GOLD, $79.95 
Infinix,HOT 60 PRO PLUS,353863133234017   353863138660562,256/8,SLEEK BLACK, $184.28 
HONOR,X5B PLUS,862242078587529    862242079087529,128/4,Ocean Blue, $68.25 
HONOR,X5C PLUS,861486082883942   861486082883959,128/4,Ocean Cyan, $77.03 
HONOR,X7D,869568082927829   869568082927837,256/8,Meteor Silver, $144.30 
HONOR,X5C ,860158081753506   860158081753514,64/4,Midnight Black, $68.25 
HONOR,X6C,862907081867486    862907082367486,128/6,Ocean Cyan , $90.68 
SAMSUNG,A07,356354265032160  359558685032165,128/4,Black, $97.02 
SAMSUNG,A07,355888303610710   356752273610713,64/4,Black, $82.17 
SAMSUNG,A17,356553691342057  356777351342053,256/8,Black, $190.08 
SAMSUNG,A36,353745120975308  356560610975305,256/8,Awesome White, $283.14 
SAMSUNG,A17,353066132746318  354651962746311,128/6,Gray, $156.42 
SAMSUNG,A56,351382275131313  352178695131316,256/8,Awesome Graphite, $346.50 
XIAOMI,REDMI A5,867811080379789   867811080379797,64/3,Sandy Gold, $73.13 
XIAOMI,REDMI A5,869293060799282  868293080799290,128/4,Midnight Black , $82.88 
XIAOMI,REDMI 15C,861050080493904  861050080493912,128/4,Moonlight Blue, $99.45 
XIAOMI,REDMI 15C,865761085257401  865761085257419,256/8,Midnight Black, $120.90 
TECNO,SPARK 40,351277102210639  351277105726912,256/8,MIRAGE BLUE, $131.00 
TECNO,SPARK SLIM,   351165390816185  351165390816185,256/8,MAGIC SILVER, $181.00 
TECNO,SPARK SLIM,351165390793053  351165399877196,256/8, COOL BLACK, $181.00 
TECNO,SPARK SLIM,351165390791891  351165395729664,256/8,COOL BLACK, $181.00 
TECNO,POVA 7,359445280735261  359445289144978,256/8,HYPER TITANIUM, $154.00 
TECNO,POVA 7,359445281133185  359445286596444             ,,, $154.00 
TECNO,SPARK GO 2,358530213917390  358530219187873,256/4,TURQUOISE GREEN, $91.00 
TECNO,SPARK GO 2,358530214811642  358530214811642,128/4,VEIL WHITE, $81.00 
TECNO,POVA 7 5G,355463352014303  355463355948192,256/8,STARDUST PINK, $207.00 
TECNO,MEGAPAD,350118431129549,256/4,DARK GREY, $141.00 
