Code,Description,Quantity, Amount ,Category,Brand,Model
A3264,MOXOM MX-AX78,1,14.00,mic 2in1,MOXOM,mic 2in1
A3113,MOXOM MX-VC45,1,6.00,car charger,MOXOM,car charger
A2402,MOXOM MX-VC26,2,6.00,wls earphone,MOXOM,wls earphone
A3115,MOXOM MX-VC42,3,3.00,car charger,MOXOM,car charger
A1203,MOXOM AUX-12,2,1.50,aux,MOXOM,aux
A2335,MOXOM MX-AX31,2,1.50,aux,MOXOM,aux
A2689,MOXOM MX-AX62,3,1.50,aux,MOXOM,aux
A2911,MOXOM MX-VS63,2,6.50,holder,MOXOM,holder
A3097,MOXOM MX-VS138,1,6.00,holder,MOXOM,MX-VS138
A3098,MOXOM MX-VS139,1,6.00,holder,MOXOM,holder
A3247,MOXOM MX-VS143,1,6.00,holder,MOXOM,holder
A3172,MOXOM MX-VS133,1,6.00,holder,MOXOM,holder
A3250,MOXOM LX-VS813 WL,1,9.00,power,MOXOM,power
A3171,MOXOM MX-VS112,1,6.00,holder,MOXOM,holder
A3173,MOXOM MX-VS129,1,6.00,holder,MOXOM,holder
A3102,MOXOM MX-WL69,2,9.00,wls earphone,MOXOM,wls earphone
A2292,BAND BINKSON,3,3.50,watch band,china,watch Accs
A912,SPORT WATCH BAND,5,3.50,watch band,china,watch Accs
A2260,SIMPLE STYLISH SILICONE BAND,1,3.50,watch band,china,watch Accs
A2261,CHAIN BAND,1,5.00,watch band,china,watch band
A3260,MOXOM MX-PB176,1,17.00,power bank,MOXOM,power bank
A2842,MOXOM MX-PB165,1,12.00,power bank,MOXOM,power bank
A3239,MOXOM MX-PB170,1,20.00,power bank,MOXOM,power bank
A3085,MOXOM MX-PB171,1,25.00,power bank,MOXOM,power bank
A3045,AIRPODS 4 ANC,2,9.00,airpod,china,airpod
A2479,AIRPODS PRO2 ANC,2,8.00,airpod,china,airpod
A3422,AIRPODS SPECIAL EDITION,1,7.00,airpod,china,airpod
A3252,MOXOM MX-EP73,6,2.50,earphone,MOXOM,earphone
A3043,SPEAKER L-003,4,7.50,speaker,L-003,smal speaker
A3095,MOXOM MX-ST28,2,12.00,power bank,MOXOM,power bank
A1951,MOXOM MX-ST05,2,12.00,power bank,MOXOM,power bank
A1438,MOXOM MX-EP20,2,2.00,music,MOXOM,music
A3107,MOXOM MX-EP18,2,2.00,bass,MOXOM,bass
A2508,MOXOM MX-AX40,2,3.50,AUX,MOXOM,AUX
